01/01/1969  2878
01/01/1970  4340
01/01/1971  9368
01/01/1972  11109
01/01/1973  12166
01/01/1974  12862
01/01/1975  17064
01/01/1976  18549
01/01/1977  17077
01/01/1978  16001
01/01/1979  17653
01/01/1980  21082
01/01/1981  22430
01/01/1982  21717
01/01/1983  21625
01/01/1984  20854
01/01/1985  19899
01/01/1986  19429
01/01/1987  19113
01/01/1988  18645
01/01/1989  18806.46342
01/01/1990  20048.97758
01/01/1991  22624.627
01/01/1992  25406.98542
01/01/1993  26986.7745
01/01/1994  27473.69633
01/01/1995  26618.77283
01/01/1996  25542.53117
01/01/1997  22858.1365
01/01/1998  19790.9845
01/01/1999  18182.53792
01/01/2000  17194.33433
01/01/2001  17318.45808
01/01/2002  19095.63667
01/01/2003  21249.62583
01/01/2004  23810.742
01/01/2005  25628.45608
01/01/2006  26548.83317
01/01/2007  26316.04458
01/01/2008  28222.63025
01/01/2009  33489.9745
01/01/2010  40301.878
01/01/2011  44708.72608
01/01/2012  46609.0715
01/01/2013  47636.08983
01/01/2014  46663.87242
01/01/2015  45766.67167
01/01/2016  44219.36283
01/01/2017  42123.70275
01/01/2018  40324.45381
