01/01/1900	448572
01/01/1901	487918
01/01/1902	648743
01/01/1903	857046
01/01/1904	812870
01/01/1905	1026499
01/01/1906	1100735
01/01/1907	1285349
01/01/1908	782870
01/01/1909	751786
01/01/1910	1041570
01/01/1911	878587
01/01/1912	838172
01/01/1913	1197892
01/01/1914	1218480
01/01/1915	326700
01/01/1916	298826
01/01/1917	295403
01/01/1918	110618
01/01/1919	141132
01/01/1920	430001
01/01/1921	805228
01/01/1922	309556
01/01/1923	522919
01/01/1924	706896
01/01/1925	294314
01/01/1926	304488
01/01/1927	335175
01/01/1928	307255
01/01/1929	279678
01/01/1930	241700
01/01/1931	97139
01/01/1932	35576
01/01/1933	23068
01/01/1934	29470
01/01/1935	34956
01/01/1936	36329
01/01/1937	50244
01/01/1938	67895
01/01/1939	82998
01/01/1940	70756
01/01/1941	51776
01/01/1942	28781
01/01/1943	23725
01/01/1944	28551
01/01/1945	38119
01/01/1946	108721
01/01/1947	147292
01/01/1948	170570
01/01/1949	188317
01/01/1950	249187
01/01/1951	205717
01/01/1952	265520
01/01/1953	170434
01/01/1954	208177
01/01/1955	237790
01/01/1956	321625
01/01/1957	326867
01/01/1958	253265
01/01/1959	260686
01/01/1960	265398
01/01/1961	271344
01/01/1962	283763
01/01/1963	306260
01/01/1964	292248
01/01/1965	296697
01/01/1966	323040
01/01/1967	361972
01/01/1968	454448
01/01/1969	358579
01/01/1970	373326
01/01/1971	370478
01/01/1972	384685
01/01/1973	398515
01/01/1974	393919
01/01/1975	385378
01/01/1976	499093
01/01/1977	458755
01/01/1978	589810
01/01/1979	394244
01/01/1980	524295
01/01/1981	595014
01/01/1982	533624
01/01/1983	550052
01/01/1984	541811
01/01/1985	568149
01/01/1986	600027
01/01/1987	599889
01/01/1988	641346
01/01/1989	1090172
01/01/1990	1535872
01/01/1991	1826595
01/01/1992	973445
01/01/1993	903916
01/01/1994	803993
01/01/1995	720177
01/01/1996	915560
01/01/1997	797847
01/01/1998	653206
01/01/1999	644787
01/01/2000	841002
01/01/2001	1058902
01/01/2002	1059356
01/01/2003	703542
01/01/2004	957883
01/01/2005	1122257
01/01/2006	1266129
01/01/2007	1052415
01/01/2008	1107126
01/01/2009	1130818
01/01/2010	1042625
01/01/2011	1062040
01/01/2012	1031631
01/01/2013	990553
01/01/2014	1016518
